,-3_0_0.csv,9_0_0.csv,-1_0_0.csv,-5_0_0.csv,3_0_0.csv,5_0_0.csv,-9_0_0.csv,7_0_0.csv,1_0_0.csv,-7_0_0.csv
-3_0_0.csv,0.0,166.68419863849465,39.924056036281755,36.67963634720926,193.32094553381745,169.20378644783224,40.963839065847594,181.06857849388697,155.19145465213646,36.406568056613494
9_0_0.csv,166.68419863849465,0.0,139.2667265005869,151.0098036232024,40.27745508886318,33.69171031132484,176.70410197073673,27.656253843810994,41.94930108292361,191.58266498513314
-1_0_0.csv,39.924056036281755,139.2667265005869,0.0,42.68751509449313,172.34723944725897,143.82148140101614,58.64048573219215,154.91546121962602,128.69470857268885,62.94213855685949
-5_0_0.csv,36.67963634720926,151.0098036232024,42.68751509449313,0.0,170.5303494635934,149.2073365474245,53.61753792277631,161.529440713057,135.06627053237284,54.33019774486474
3_0_0.csv,193.32094553381745,40.27745508886318,172.34723944725897,170.5303494635934,0.0,39.35699188193169,205.21775679567114,34.90471288512063,55.74441400718673,217.78982581728405
5_0_0.csv,169.20378644783224,33.69171031132484,143.82148140101614,149.2073365474245,39.35699188193169,0.0,177.2731974406327,27.934931394983522,27.213872438654874,193.01305036899888
-9_0_0.csv,40.963839065847594,176.70410197073673,58.64048573219215,53.61753792277631,205.21775679567114,177.2731974406327,0.0,188.43509930271185,163.28520715273987,41.03237121741721
7_0_0.csv,181.06857849388697,27.656253843810994,154.91546121962602,161.529440713057,34.90471288512063,27.934931394983522,188.43509930271185,0.0,32.994198839456956,204.96168452288407
1_0_0.csv,155.19145465213646,41.94930108292361,128.69470857268885,135.06627053237284,55.74441400718673,27.213872438654874,163.28520715273987,32.994198839456956,0.0,179.1024148146594
-7_0_0.csv,36.406568056613494,191.58266498513314,62.94213855685949,54.33019774486474,217.78982581728405,193.01305036899888,41.03237121741721,204.96168452288407,179.1024148146594,0.0
