Archivo,Cluster,NombreArchivo
-5_0_0_B.csv,-1,distancias_bottleneck_dim1_B.csv
-1_0_0_B.csv,0,distancias_bottleneck_dim1_B.csv
7_0_0_B.csv,1,distancias_bottleneck_dim1_B.csv
1_0_0_B.csv,1,distancias_bottleneck_dim1_B.csv
-9_0_0_B.csv,-1,distancias_bottleneck_dim1_B.csv
-3_0_0_B.csv,-1,distancias_bottleneck_dim1_B.csv
-7_0_0_B.csv,0,distancias_bottleneck_dim1_B.csv
5_0_0_B.csv,2,distancias_bottleneck_dim1_B.csv
9_0_0_B.csv,2,distancias_bottleneck_dim1_B.csv
3_0_0_B.csv,2,distancias_bottleneck_dim1_B.csv
-9_0_0_A.csv,0,distancias_wasserstein_dim1_A.csv
9_0_0_A.csv,1,distancias_wasserstein_dim1_A.csv
7_0_0_A.csv,1,distancias_wasserstein_dim1_A.csv
5_0_0_A.csv,-1,distancias_wasserstein_dim1_A.csv
1_0_0_A.csv,-1,distancias_wasserstein_dim1_A.csv
-5_0_0_A.csv,0,distancias_wasserstein_dim1_A.csv
3_0_0_A.csv,-1,distancias_wasserstein_dim1_A.csv
-1_0_0_A.csv,0,distancias_wasserstein_dim1_A.csv
-7_0_0_A.csv,0,distancias_wasserstein_dim1_A.csv
-3_0_0_A.csv,0,distancias_wasserstein_dim1_A.csv
-5_0_0_B.csv,0,distancias_wasserstein_dim1_B.csv
-1_0_0_B.csv,0,distancias_wasserstein_dim1_B.csv
7_0_0_B.csv,1,distancias_wasserstein_dim1_B.csv
1_0_0_B.csv,1,distancias_wasserstein_dim1_B.csv
-9_0_0_B.csv,0,distancias_wasserstein_dim1_B.csv
-3_0_0_B.csv,0,distancias_wasserstein_dim1_B.csv
-7_0_0_B.csv,0,distancias_wasserstein_dim1_B.csv
5_0_0_B.csv,1,distancias_wasserstein_dim1_B.csv
9_0_0_B.csv,1,distancias_wasserstein_dim1_B.csv
3_0_0_B.csv,1,distancias_wasserstein_dim1_B.csv
-5_0_0_B.csv,0,distancias_bottleneck_dim0_B.csv
-1_0_0_B.csv,0,distancias_bottleneck_dim0_B.csv
7_0_0_B.csv,1,distancias_bottleneck_dim0_B.csv
1_0_0_B.csv,1,distancias_bottleneck_dim0_B.csv
-9_0_0_B.csv,0,distancias_bottleneck_dim0_B.csv
-3_0_0_B.csv,0,distancias_bottleneck_dim0_B.csv
-7_0_0_B.csv,-1,distancias_bottleneck_dim0_B.csv
5_0_0_B.csv,1,distancias_bottleneck_dim0_B.csv
9_0_0_B.csv,1,distancias_bottleneck_dim0_B.csv
3_0_0_B.csv,1,distancias_bottleneck_dim0_B.csv
-9_0_0_A.csv,0,distancias_wasserstein_dim0_A.csv
9_0_0_A.csv,1,distancias_wasserstein_dim0_A.csv
7_0_0_A.csv,1,distancias_wasserstein_dim0_A.csv
5_0_0_A.csv,1,distancias_wasserstein_dim0_A.csv
1_0_0_A.csv,1,distancias_wasserstein_dim0_A.csv
-5_0_0_A.csv,0,distancias_wasserstein_dim0_A.csv
3_0_0_A.csv,1,distancias_wasserstein_dim0_A.csv
-1_0_0_A.csv,0,distancias_wasserstein_dim0_A.csv
-7_0_0_A.csv,0,distancias_wasserstein_dim0_A.csv
-3_0_0_A.csv,0,distancias_wasserstein_dim0_A.csv
-5_0_0_B.csv,0,distancias_wasserstein_dim0_B.csv
-1_0_0_B.csv,0,distancias_wasserstein_dim0_B.csv
7_0_0_B.csv,1,distancias_wasserstein_dim0_B.csv
1_0_0_B.csv,1,distancias_wasserstein_dim0_B.csv
-9_0_0_B.csv,0,distancias_wasserstein_dim0_B.csv
-3_0_0_B.csv,0,distancias_wasserstein_dim0_B.csv
-7_0_0_B.csv,0,distancias_wasserstein_dim0_B.csv
5_0_0_B.csv,1,distancias_wasserstein_dim0_B.csv
9_0_0_B.csv,1,distancias_wasserstein_dim0_B.csv
3_0_0_B.csv,1,distancias_wasserstein_dim0_B.csv
-9_0_0_A.csv,0,distancias_bottleneck_dim0_A.csv
9_0_0_A.csv,-1,distancias_bottleneck_dim0_A.csv
7_0_0_A.csv,-1,distancias_bottleneck_dim0_A.csv
5_0_0_A.csv,-1,distancias_bottleneck_dim0_A.csv
1_0_0_A.csv,-1,distancias_bottleneck_dim0_A.csv
-5_0_0_A.csv,-1,distancias_bottleneck_dim0_A.csv
3_0_0_A.csv,-1,distancias_bottleneck_dim0_A.csv
-1_0_0_A.csv,0,distancias_bottleneck_dim0_A.csv
-7_0_0_A.csv,-1,distancias_bottleneck_dim0_A.csv
-3_0_0_A.csv,-1,distancias_bottleneck_dim0_A.csv
-9_0_0_A.csv,-1,distancias_bottleneck_dim1_A.csv
9_0_0_A.csv,0,distancias_bottleneck_dim1_A.csv
7_0_0_A.csv,-1,distancias_bottleneck_dim1_A.csv
5_0_0_A.csv,-1,distancias_bottleneck_dim1_A.csv
1_0_0_A.csv,0,distancias_bottleneck_dim1_A.csv
-5_0_0_A.csv,-1,distancias_bottleneck_dim1_A.csv
3_0_0_A.csv,0,distancias_bottleneck_dim1_A.csv
-1_0_0_A.csv,-1,distancias_bottleneck_dim1_A.csv
-7_0_0_A.csv,-1,distancias_bottleneck_dim1_A.csv
-3_0_0_A.csv,-1,distancias_bottleneck_dim1_A.csv
